KO id,Tau,lambda,num_ORFs,Trusted Cutoff,E_value_trusted,E_values_MAG,Rk
K03235,-6.9913,0.69485,4825,,,6.3e-42,
K22334,-5.1561,0.70279,4825,573.77,9.659079711611241e-174,,
K01435,-6.3937,0.69681,4825,,,8.9e-05,
K02976,-4.572,0.7034,4825,42.1,2.6669013001774337e-11,,
K26038,-6.3685,0.69842,4825,,,,
K02773,-5.1035,0.70663,4825,,,,
K08946,-3.7337,0.71865,4825,89.03,5.387844655801457e-26,,
K16839,-5.8405,0.69948,4825,295.8,1.124746027963572e-88,2.2e-51,1.9559971276211104e+37
K17821,-5.9288,0.69809,4825,,,,
K15144,-6.8205,0.69474,4825,,,,
K20872,-6.1069,0.69771,4825,,,,
K01398,-6.2388,0.69684,4825,,,,
K08161,-6.1551,0.69795,4825,233.73,9.343836969837144e-70,5.3000000000000003e-45,5.672188007034946e+24
K24323,-6.2166,0.69787,4825,,,,
K16901,-6.3689,0.69811,4825,651.33,1.9004014657321822e-196,,
K14013,-6.0971,0.69734,4825,,,,
K05383,-5.1078,0.7045,4825,128.5,6.379593927136316e-38,,
K08271,-5.7949,0.6978,4825,,,,
K08847,-5.7649,0.6978,4825,,,,
K18835,-5.7888,0.69645,4825,,,,
K02204,-5.6755,0.69952,4825,141.57,8.925994584739642e-42,3.2e-14,3.5850346643396936e+27
K24756,-6.2098,0.69806,4825,,,3.3e-21,
K04035,-5.8285,0.69943,4825,335.93,7.437336230283923e-101,,
K11506,-5.8914,0.69903,4825,,,,
K20454,-5.5848,0.70161,4825,377.7,7.844542656965446e-114,4.9e-19,6.2463807187651874e+94
K24041,-5.3332,0.70056,4825,,,,
K13505,-4.7175,0.70535,4825,212.2,1.7188719753618876e-63,,
K23482,-5.3995,0.70077,4825,,,,
K20576,-5.3963,0.70256,4825,,,2.1e-12,
K13656,-5.8317,0.69824,4825,559.6,1.6633463201542497e-168,7.700000000000001e-48,4.629222373417669e+120
K03736,-5.7268,0.70082,4825,210.47,7.609408912587256e-63,,
K19856,-5.1786,0.70266,4825,415.27,2.3923816164875746e-125,1.3e-11,5.433915689038868e+113
K02004,-6.4083,0.698,4825,57.17,2.5735186877109176e-16,4.5e-39,1.7485787150054235e-23
K17526,-6.2243,0.69662,4825,,,,
K20015,-5.9543,0.69562,4825,,,,
K03097,-5.9304,0.69833,4825,,,,
K00592,-6.32,0.69805,4825,,,,
K11229,-6.5738,0.6949,4825,,,,
K18350,-5.7406,0.69847,4825,,,1.6e-46,
K02166,-5.531,0.69915,4825,,,,
K10872,-6.0397,0.69709,4825,,,0.00012,
K10718,-5.7202,0.69952,4825,,,1.5e-10,
K11700,-5.5051,0.70046,4825,,,,
K02900,-5.0325,0.70202,4825,94.33,2.4519932730413008e-27,,
K05918,-5.9817,0.69789,4825,50.0,5.200156403284226e-14,0.001,19230190833.65333
K26586,-6.0852,0.69787,4825,,,,
K16060,-6.2587,0.69652,4825,,,,
K10924,-4.2657,0.70523,4825,117.4,2.630456919028398e-34,,
K04570,-5.2081,0.70177,4825,,,,
K07588,-6.0047,0.69664,4825,261.77,4.667559104342758e-78,6.2999999999999996e-136,1.3497418798914398e-58
K06589,-6.8768,0.69625,4825,,,,
K07571,-4.7848,0.70841,4825,,,8.8e-20,
K10389,-6.2502,0.69642,4825,,,,
K11371,-4.2757,0.71248,4825,,,,
K25098,-5.4386,0.6996,4825,469.0,3.4171933830707694e-141,,
K22080,-5.6757,0.69925,4825,,,,
K03991,-5.623,0.70045,4825,,,,
K17653,-6.0428,0.69848,4825,,,0.00047,
K20201,-5.4208,0.70336,4825,,,1.8e-25,
K23219,-6.4076,0.69482,4825,,,,
K11895,-5.4823,0.69822,4825,56.97,5.570487628827791e-16,,
K12641,-6.391,0.69652,4825,,,,
K15659,-9.4606,0.69371,4825,,,1e-18,
K10319,-5.7757,0.70051,4825,,,,
K11301,-4.7171,0.70328,4825,,,,
K12761,-5.8167,0.69737,4825,,,,
K15779,-6.8868,0.69544,4825,,,1.5e-135,
K02230,-7.273,0.69506,4825,1035.23,9.835318615265e-312,,
K05248,-4.5278,0.705,4825,44.93,3.4723726798411186e-12,,
K08778,-6.2365,0.69764,4825,,,,
K09760,-6.2881,0.69634,4825,61.13,1.973074213090421e-17,2.3e-130,1.1656936088569705e-113
K12566,-5.9774,0.69957,4825,,,,
K19224,-5.4431,0.69985,4825,,,6.8e-33,
K23577,-5.4842,0.69987,4825,,,,
K08647,-7.5193,0.69455,4825,,,0.14,
K03633,-6.0062,0.69869,4825,262.17,2.0363807485001878e-78,,
K00054,-6.8106,0.69565,4825,286.43,1.231798785441058e-85,0.045,3.6531940550572387e+83
K25757,-6.0634,0.69784,4825,,,,
K00476,-6.1158,0.69624,4825,,,0.0021,
K13637,-5.2966,0.70253,4825,304.27,1.7108425667059038e-91,3.2e-05,1.8704234172530292e+86
K25713,-4.9624,0.70567,4825,,,,
K02165,-5.0543,0.7008,4825,,,,
K21614,-5.2974,0.70188,4825,231.2,3.9241207694688966e-69,,
K06427,-3.9818,0.71933,4825,87.13,1.6598749108578654e-25,,
K12966,-5.3616,0.70016,4825,,,,
K20348,-5.5467,0.70107,4825,,,,
K21330,-5.7705,0.69955,4825,,,0.061,
K23125,-4.4812,0.70975,4825,,,0.46,
K22682,-6.0429,0.69597,4825,,,,
K11462,-5.7673,0.69813,4825,,,6.2e-13,
K18433,-4.4022,0.70944,4825,172.17,1.9079401192055735e-51,,
K06684,-6.1692,0.69706,4825,,,,
K18977,-6.1992,0.69781,4825,,,,
K24598,-6.9209,0.69562,4825,,,,
K25580,-6.0655,0.69786,4825,,,1e-08,
K16501,-6.8028,0.69579,4825,,,,
K04054,-4.8862,0.7043,4825,68.97,1.2383268087682663e-19,,
K22304,-4.4285,0.71839,4825,100.67,7.825654605595664e-30,,
K24781,-7.4206,0.69424,4825,,,0.00014,
K18290,-4.8948,0.70788,4825,,,,
K24453,-4.564,0.71423,4825,,,6.5,
K24601,-4.9435,0.70464,4825,,,,
K02623,-5.7899,0.69992,4825,,,1.4000000000000001e-28,
K10895,-7.0247,0.6949,4825,,,,
K14614,-6.5486,0.69602,4825,,,5.7e-10,
K23343,-6.847,0.69564,4825,,,,
K07915,-5.3187,0.70127,4825,,,,
K12640,-6.2638,0.69841,4825,,,5.5e-11,
K15658,-7.9782,0.6943,4825,,,1.3e-13,
K21075,-7.459,0.69416,4825,,,,
K10463,-6.6053,0.69625,4825,,,3.2e-14,
K03735,-6.4738,0.69726,4825,385.77,8.048814496599628e-116,,
K07682,-5.7577,0.69755,4825,,,2.7e-26,
K11927,-6.0882,0.69738,4825,,,1.2e-146,
K06298,-5.2519,0.69999,4825,94.83,1.8130932120612693e-27,,
K07280,-5.878,0.69797,4825,,,1.3e-08,
K19958,-5.3082,0.70279,4825,,,3.9e-36,
K06487,-7.1173,0.69538,4825,,,,
K07924,-5.8323,0.69942,4825,,,,
K21924,-7.7897,0.69457,4825,,,,
K10038,-5.5086,0.7033,4825,,,2.1e-52,
K11020,-6.6655,0.69702,4825,785.73,6.545132498321478e-237,,
K19092,-4.5563,0.70429,4825,,,1e-09,
K23876,-5.6406,0.7007,4825,269.7,7.844401763940907e-81,,
K26354,-5.1087,0.70262,4825,50.0,7.369003757489915e-14,0.097,1316324474680.9692
K22125,-7.7217,0.69428,4825,,,,
K21769,-6.1305,0.69642,4825,,,,
K17235,-5.1615,0.70131,4825,336.6,3.903614196976106e-101,,
K19493,-5.6168,0.69772,4825,,,,
K12304,-5.9096,0.69779,4825,99.27,6.444716363140125e-29,,
K08888,-6.1755,0.69731,4825,,,,
K09870,-5.6877,0.69849,4825,,,0.00067,
K10745,-4.9412,0.70299,4825,,,,
K00408,-5.5408,0.69908,4825,,,,
K08958,-5.9011,0.69812,4825,,,,
K09940,-5.0807,0.70678,4825,39.43,1.049322164106716e-10,1.2e-08,114.35954000090672
K01243,-5.7045,0.69848,4825,,,2.3e-12,
K00207,-7.0193,0.69534,4825,,,9.1e-09,
K00211,-6.2021,0.69828,4825,412.33,5.751856987593425e-124,0.0017,2.95556722579655e+120
K03229,-6.0099,0.69895,4825,389.27,4.9685884668537515e-117,,
K20009,-5.9931,0.69806,4825,,,,
K23492,-5.7587,0.69942,4825,405.0,8.199698661903758e-122,,
K23061,-5.3948,0.70214,4825,306.6,3.5091214156908934e-92,1.4e-06,3.989602621727356e+85
K22079,-7.2107,0.69555,4825,,,,
K04417,-6.4298,0.69552,4825,,,,
K18604,-6.1273,0.69787,4825,973.3,6.880239779590074e-294,2.1999999999999997e-105,3.1975629781482357e+188
K22744,-4.7388,0.70353,4825,,,,
K03802,-6.4745,0.69568,4825,321.87,3.0253693439451586e-96,6.7e-68,2.214605635972707e+28
K04745,-6.1171,0.69743,4825,,,,
K26205,-3.9719,0.71901,4825,,,,
K23652,-5.5192,0.70008,4825,532.93,9.395680381871867e-161,,
K09307,-4.6735,0.70059,4825,,,,
K00875,-6.1583,0.69658,4825,381.67,2.276933089090009e-114,1.5e-59,6.587808869690962e+54
K13714,-7.0612,0.69506,4825,,,,
K07193,-6.2172,0.69623,4825,,,,
K07002,-5.1017,0.70239,4825,,,1.3e-11,
K10227,-5.7302,0.69865,4825,413.8,2.4530773927781282e-124,,
K25722,-5.7064,0.7011,4825,,,,
K14995,-6.1623,0.69677,4825,,,,
K01653,-5.3849,0.7025,4825,53.43,5.489708506099975e-15,2.5e-08,4553975.857228277
K07983,-4.4383,0.70678,4825,,,,
K25505,-4.3059,0.71847,4825,109.4,1.6000118197825385e-32,,
K23226,-6.3621,0.69593,4825,,,,
K20270,-4.3752,0.70945,4825,203.63,3.9352229812844186e-61,,
K23288,-6.6559,0.69568,4825,134.97,7.835491628194114e-40,,
K04277,-6.2642,0.69737,4825,,,,
K10941,-5.8598,0.6982,4825,,,1.7e-123,
K13959,-6.5982,0.69698,4825,,,0.65,
K01078,-5.9724,0.6969,4825,,,,
K04072,-7.1481,0.69598,4825,643.03,1.4470614640405138e-193,4.1e-62,2.8333281632363414e+131
K22303,-5.6284,0.69918,4825,367.67,2.1450244075320695e-110,,
K21092,-4.4821,0.71151,4825,,,,
K26051,-6.4917,0.69581,4825,,,2.6e-59,
K02796,-6.1745,0.69789,4825,,,,
K02394,-6.2401,0.69897,4825,124.3,1.1399856385441137e-36,,
K03490,-4.8454,0.70159,4825,176.13,3.474532589889905e-52,1.1000000000000001e-30,3.165893459168432e+21
K01073,-4.8099,0.70796,4825,,,2.7e-34,
K15894,-5.8565,0.70011,4825,,,2.1e-17,
K25317,-6.2584,0.69914,4825,390.43,1.72166856768549e-117,6.5999999999999995e-46,3.833490442863025e+71
K21746,-5.4833,0.70174,4825,328.77,6.544202074531356e-99,5.7e-21,8.709999989430627e+77
K04875,-6.2398,0.69839,4825,,,6.799999999999997e-47,
K24784,-7.1444,0.69603,4825,,,,
K16967,-5.966,0.69822,4825,,,,
K15901,-5.1066,0.70331,4825,,,,
K24618,-6.1316,0.69765,4825,,,,
K25600,-6.2565,0.69814,4825,1028.3,1.01782696872925e-310,,
K12741,-5.3556,0.69843,4825,,,2.2e-15,
K15759,-5.6929,0.69928,4825,,,9e-16,
K10233,-5.7866,0.69851,4825,322.5,1.243912899269696e-96,,
K17865,-5.5438,0.70052,4825,,,5.2e-06,
K20835,-6.4706,0.69742,4825,,,,
K09799,-5.8525,0.69865,4825,243.1,1.4007791035185762e-72,,
K20798,-6.0912,0.6977,4825,87.4,2.264565930994334e-25,0.00067,2.958624391676748e+21
K21780,-6.4816,0.69785,4825,,,1.1000000000000002e-28,
K23996,-5.149,0.70249,4825,50.0,7.214813231059419e-14,1.4e-05,194045217.1336977
K02151,-4.8224,0.70547,4825,,,,
K05169,-5.7297,0.69756,4825,,,,
K22195,-5.1718,0.70443,4825,,,,
K06566,-4.6943,0.70466,4825,,,,
K21065,-5.6457,0.69955,4825,,,2.4e-147,
K21502,-6.1427,0.6975,4825,,,2.3e-09,
K11537,-5.8522,0.69897,4825,624.1,2.8572918271833087e-188,8.7e-179,3044841243.4568777
K24487,-6.8558,0.69567,4825,,,6e-27,
K11176,-4.9009,0.7043,4825,126.7,2.6931205702568784e-37,,
K24514,-6.6269,0.69568,4825,,,2.9e-10,
K00405,-5.4016,0.70219,4825,,,,
K24922,-5.4706,0.70088,4825,,,,
K07667,-5.6489,0.70162,4825,,,3.6e-64,
K06278,-4.8606,0.70272,4825,,,,
K07260,-5.4928,0.69904,4825,63.57,5.209260857118398e-18,2e-06,383931627702.4257
K07966,-5.7142,0.69916,4825,,,1.1,
K26252,-5.2021,0.70202,4825,199.07,2.537011613916945e-59,2.8000000000000002e-33,1.1036606945906023e+26
K23136,-6.3867,0.69753,4825,,,1.3e-21,
K10292,-5.7051,0.69755,4825,,,,
K18105,-5.6709,0.70026,4825,524.93,2.078038609921418e-158,,
K06410,-5.7108,0.70097,4825,105.83,5.338524588932896e-31,0.0065,1.2175648705402458e+28
K21132,-5.8624,0.69957,4825,699.73,2.0457109205978526e-211,0.001,4.888276197439241e+207
K02709,-4.7785,0.7188,4825,112.73,1.0017658398387877e-33,,
K22426,-6.142,0.69852,4825,,,,
K00507,-5.9673,0.6984,4825,,,1.1e-68,
K24863,-4.7734,0.70687,4825,,,,
K02181,-5.5749,0.6976,4825,,,,
K05199,-6.8704,0.69551,4825,,,,
K14135,-6.185,0.69879,4825,,,,
K24849,-5.7692,0.69816,4825,,,,
K25831,-6.5728,0.69534,4825,,,,
K16147,-6.2151,0.69619,4825,246.5,1.8824089883071858e-73,8e-216,4.2498734598554195e-143
K19064,-5.5363,0.69943,4825,347.73,2.3758790044574503e-104,0.00013,5.471659110422017e+99
K08965,-6.2943,0.69919,4825,362.0,7.0685087635252375e-109,,
K05934,-5.7733,0.69816,4825,,,0.00022,
K14461,-7.411,0.69469,4825,,,,
K17479,-5.6778,0.70022,4825,,,,
K08656,-6.8876,0.69565,4825,,,1.7e-23,
K14686,-5.2433,0.70246,4825,,,,
K03842,-6.2619,0.69697,4825,,,,
K20727,-3.8821,0.71854,4825,,,,
K25196,-5.8542,0.69947,4825,655.4,6.4620018429099496e-198,8.2e-07,1.2689566173672585e+191
K23990,-5.2484,0.70218,4825,,,3e-19,
K21524,-4.8146,0.708,4825,,,,
K06821,-8.0577,0.69437,4825,,,0.0011,
K10960,-6.0694,0.69855,4825,219.73,1.5180493500905137e-65,1.2e-06,7.904881352694166e+58
K13978,-6.5849,0.6973,4825,,,,
K18687,-6.2977,0.69769,4825,,,1.1e-76,
K04576,-6.1217,0.69755,4825,,,,
K06161,-6.2692,0.69746,4825,1019.57,8.98868194197826e-308,1.4e-26,1.5575142262647278e+281
K14272,-6.1311,0.69821,4825,,,8.6e-17,
K09469,-5.7313,0.69967,4825,,,,
K01689,-5.7577,0.6974,4825,258.4,4.744747393613362e-77,2.9e-199,6.112021904271505e-123
K26228,-5.7116,0.69763,4825,,,,
K11959,-6.0035,0.69848,4825,268.83,2.0599266457263443e-80,,
K18376,-6.0778,0.6963,4825,330.23,9.644319413263932e-99,,
K03505,-4.3499,0.70287,4825,,,,
K18019,-5.7256,0.69826,4825,,,,
K19001,-6.812,0.69591,4825,,,1.9e-104,
K26863,-6.9832,0.69542,4825,,,,
K21699,-5.5052,0.70102,4825,204.9,4.224932914295708e-61,2e-13,4.733802975267829e+47
K05076,-6.1703,0.69783,4825,,,,
K07535,-5.8022,0.69909,4825,,,1.7999999999999998e-69,
K16916,-4.9914,0.70338,4825,191.2,5.650869247465405e-57,,
K17476,-6.0214,0.69929,4825,810.13,6.608794693454085e-245,6.5,9.835378917789889e+244
K20309,-6.4595,0.69576,4825,,,0.00025,
K15946,-5.8764,0.69863,4825,50.0,5.370000403657292e-14,,
K10932,-6.0239,0.69822,4825,423.97,1.9729541065341565e-127,,
K25117,-6.0808,0.69683,4825,1066.53,0.0,,
K03373,-5.3631,0.69813,4825,,,,
K19499,-7.2543,0.69525,4825,,,,
K05853,-7.1556,0.69537,4825,,,6.3e-94,
K16480,-6.8456,0.69537,4825,,,,
K22449,-6.4356,0.69741,4825,,,0.0045,
K23431,-5.4725,0.70023,4825,,,,
K12118,-6.1946,0.69643,4825,,,4.2999999999999994e-55,
K13100,-7.0357,0.69577,4825,,,,
K19334,-5.1027,0.70517,4825,83.17,4.465353518321444e-24,,
K24864,-5.2915,0.70311,4825,,,,
K06623,-4.6363,0.70304,4825,,,0.026,
K11292,-7.3552,0.69466,4825,,,6.1e-60,
K15903,-4.6314,0.70461,4825,,,,
K18733,-5.6514,0.69733,4825,,,,
K05925,-5.8757,0.69708,4825,,,,
K03846,-6.5827,0.69602,4825,,,,
K15554,-5.8585,0.69851,4825,260.33,8.566627509170675e-78,1.9e-09,2.2179089705558315e+68
K03905,-5.9229,0.69882,4825,,,,
K19853,-4.4873,0.71184,4825,50.0,6.899974277444898e-14,,
K18850,-5.466,0.69832,4825,103.77,3.587427183489017e-30,,
K21982,-5.8881,0.69755,4825,,,,
K15092,-5.6677,0.70025,4825,,,0.00078,
K09695,-5.6245,0.70092,4825,,,1.2e-66,
K21479,-6.1393,0.69775,4825,668.33,1.994145485626102e-201,1.9,9.527890586194903e+200
K16587,-5.7609,0.69858,4825,,,,
K07076,-4.4064,0.70311,4825,172.0,6.555483352408184e-51,,
K09145,-5.0741,0.70264,4825,69.0,1.2011232452112912e-19,,
K12294,-6.0506,0.69863,4825,427.33,1.5523491108309292e-128,,
K17986,-5.1148,0.70331,4825,,,,
K10095,-5.5139,0.70031,4825,,,,
K02837,-6.6412,0.69715,4825,384.33,2.040672944242854e-115,4.6e-241,2.2541583711282688e-126
K21069,-6.2982,0.69776,4825,,,4.5e-06,
K21447,-6.1689,0.69817,4825,,,,
K21854,-4.4621,0.7102,4825,,,,
K24318,-6.1443,0.69604,4825,,,,
K25300,-8.3383,0.69415,4825,,,5e-07,
K11928,-6.5956,0.69754,4825,558.23,3.7712730095284057e-168,5.099999999999999e-75,1.3523285074070387e+93
K20811,-6.368,0.69632,4825,888.43,1.2288054064516749e-267,,
K23829,-5.8231,0.69688,4825,,,,
K15114,-6.5927,0.69608,4825,,,,
K06825,-7.8599,0.69426,4825,,,2.6e-07,
K13991,-5.3554,0.70247,4825,241.63,2.1551466479740617e-72,,
K23557,-5.3163,0.70034,4825,515.27,2.2141001892290473e-155,4.2e-15,1.8969331290570213e+140
K01955,-7.2727,0.695,4825,1505.83,0.0,0.0,
K19505,-6.9183,0.69582,4825,760.97,4.3124897407992416e-229,3.7999999999999996e-35,8.8116151652473e+193
K07047,-6.2583,0.69766,4825,,,2.4e-37,
K09688,-5.6599,0.70186,4825,169.43,2.0590062211331863e-50,7e-22,3.399698324440957e+28
K02000,-5.6062,0.69798,4825,,,1.2e-52,
K05018,-6.2992,0.6967,4825,,,,
K06188,-5.6983,0.70046,4825,,,1.9e-37,
K20231,-5.3993,0.6974,4825,,,,
K23249,-5.286,0.70085,4825,50.0,7.174723438096223e-14,,
K10160,-6.972,0.69608,4825,,,1.1e-11,
K13178,-6.3848,0.69635,4825,,,3.6e-87,
K08775,-7.2909,0.69434,4825,,,,
K12496,-5.1407,0.69795,4825,,,,
K12186,-5.4457,0.69987,4825,,,,
K19229,-5.6362,0.70056,4825,,,7.800000000000001e-22,
K18676,-5.1967,0.70107,4825,180.47,1.4236479744251483e-53,0.69,4.846703766628921e+52
K13744,-6.4268,0.69544,4825,,,,
K10004,-5.5794,0.70325,4825,,,5.1e-47,
K16012,-6.2935,0.69713,4825,,,1.3e-102,
K05964,-5.0004,0.70573,4825,,,,
K14763,-5.5319,0.69781,4825,,,,
K09047,-5.9239,0.69734,4825,,,,
K06866,-4.3173,0.7124,4825,188.03,1.4890148122552163e-56,,
K17272,-5.0889,0.70148,4825,,,,
K06333,-4.7874,0.70671,4825,,,,
K01324,-6.0894,0.69699,4825,,,,
K20702,-4.2244,0.71935,4825,,,,
K02053,-5.96,0.69881,4825,,,6.1e-19,
K06846,-5.1527,0.70236,4825,,,,
K14455,-6.7464,0.69581,4825,,,,
K09588,-6.3356,0.69827,4825,,,1.8000000000000002e-28,
K17982,-6.7346,0.69607,4825,,,,
K20169,-6.0969,0.69824,4825,774.27,1.1057329578915173e-233,7.1e-05,6.421080197825285e+228
K21151,-5.8027,0.69915,4825,,,,
K09447,-5.7427,0.69777,4825,,,,
K23513,-6.1489,0.69791,4825,,,1.1e-36,
K14515,-6.5757,0.69691,4825,,,,
K17966,-5.6204,0.70148,4825,,,,
K12387,-5.385,0.6987,4825,,,,
K21907,-4.7083,0.70707,4825,242.27,6.954098662332408e-73,,
K04013,-5.213,0.70409,4825,121.03,1.203953107133596e-35,,
K02994,-5.0748,0.70613,4825,,,,
K13027,-6.4973,0.69765,4825,,,1.5e-07,
K19210,-5.1144,0.70265,4825,528.17,8.871973231196268e-160,,
K18228,-6.0941,0.69799,4825,,,4.4e-23,
K26673,-6.567,0.69637,4825,,,7.6999999999999975e-25,
K25502,-6.618,0.69733,4825,,,,
K25562,-6.5049,0.69635,4825,492.47,6.0677518263356665e-148,,
K23313,-5.0393,0.70477,4825,,,,
K21790,-4.0516,0.71854,4825,130.57,4.717977332684783e-39,8.9e-09,1.886401602301769e+30
K20624,-5.9182,0.69802,4825,,,3.9999999999999997e-32,
K00811,-5.9976,0.69845,4825,,,2.1,
K03829,-5.0906,0.7025,4825,,,1.4e-10,
K20726,-5.2417,0.70208,4825,,,,
K23589,-7.8753,0.69478,4825,,,0.23,
K20571,-5.8397,0.69971,4825,50.0,5.187027664007006e-14,5.9e-21,1.1374529657785205e-07
K07963,-6.5298,0.69657,4825,,,,
K19808,-4.4654,0.70722,4825,,,,
K09679,-5.6682,0.69973,4825,,,,
K14365,-5.2163,0.70132,4825,,,,
K24953,-5.7909,0.69974,4825,856.5,4.356507626241413e-259,,
K11473,-5.7102,0.69769,4825,283.8,9.142441572531461e-85,1e-41,1.0937997164832949e+43
K10678,-5.4162,0.70329,4825,383.97,5.640745305148736e-116,4.0,7.0912614975700045e+115
K11660,-6.2548,0.69635,4825,,,,
K12434,-7.3578,0.69449,4825,,,2.9e-36,
K23432,-5.3548,0.70049,4825,,,,
K20337,-4.318,0.71935,4825,43.23,6.7458893197054185e-12,,
K14157,-7.0446,0.69496,4825,,,6.899999999999999e-120,
K23556,-6.0433,0.69969,4825,583.57,3.287122308399736e-176,7.9e-17,2.403317935512397e+159
K17812,-6.1485,0.6978,4825,,,4.6e-15,
K18696,-6.3533,0.69611,4825,,,0.0041,
K00569,-5.1686,0.70075,4825,109.53,5.984932373309205e-32,,
K01551,-5.8155,0.69759,4825,194.87,7.654574648867711e-58,0.00035,4.572429116642988e+53
K04713,-5.7457,0.69958,4825,,,,
K23712,-6.472,0.69495,4825,,,,
K05647,-8.7355,0.69368,4825,,,5.2e-40,
K21722,-5.5978,0.70003,4825,689.47,2.3418783534942027e-208,1.5e-19,6.405114927348481e+188
K05364,-6.1339,0.69674,4825,,,1.6000000000000001e-80,
K20564,-6.2977,0.69795,4825,,,1.4e-07,
K01803,-5.4778,0.69952,4825,,,3.9e-99,
K11786,-7.3328,0.69434,4825,,,9.899999999999999e-92,
K22933,-6.0897,0.6984,4825,373.9,2.6812683543237572e-112,,
K09382,-4.9676,0.69863,4825,,,,
K13611,-8.7228,0.69372,4825,,,4e-33,
K12629,-4.4111,0.70916,4825,50.0,8.42818662957268e-14,,
K08570,-5.5436,0.70078,4825,,,,
K01429,-4.4748,0.70505,4825,,,,
K24992,-5.9516,0.69681,4825,,,2.9e-09,
K24991,-5.8144,0.69758,4825,,,,
K13283,-5.6815,0.70117,4825,184.5,5.895467135102266e-55,4.6e-34,7.802604771742496e+20
K09428,-5.5348,0.69753,4825,,,,
K11238,-7.5056,0.69451,4825,,,,
K18904,-6.3075,0.69744,4825,510.23,1.6873702330292912e-153,3.5e-82,2.0742335804493494e+71
K19146,-5.8,0.7003,4825,340.1,3.038838892387711e-102,,
K05472,-5.1797,0.7,4825,,,,
K11288,-5.4709,0.69902,4825,,,,
K24620,-5.2601,0.70434,4825,155.13,4.184207241734208e-46,,
K22845,-6.2689,0.69823,4825,,,,
K04833,-8.0701,0.69436,4825,,,,
K25254,-6.4633,0.69729,4825,,,8.6e-18,
K06834,-6.8647,0.695,4825,,,0.31,
K24110,-5.7239,0.69904,4825,,,3.7e-29,
K00888,-7.3674,0.6943,4825,,,,
K01870,-6.887,0.69541,4825,,,6.1e-79,
K06204,-4.9279,0.69964,4825,,,,
K00490,-6.1901,0.69749,4825,,,1.7e-48,
K21819,-5.5607,0.70155,4825,,,,
K02738,-5.8687,0.69994,4825,,,,
K03720,-4.6203,0.70733,4825,70.57,3.853234689562738e-20,,
K14575,-6.3477,0.69582,4825,,,1.6000000000000001e-74,
K18633,-4.8179,0.70385,4825,,,,
K11446,-7.1295,0.69486,4825,,,,
K07864,-5.1268,0.70374,4825,,,,
K00855,-5.8389,0.69845,4825,173.77,1.592921181172587e-51,3.3e-23,2.0716655908679626e+28
K08173,-5.8192,0.69858,4825,492.17,3.9703904535846576e-148,1.2e-08,3.0223727717171565e+139
K00234,-6.6736,0.69581,4825,,,1.1999999999999998e-69,
K18241,-5.5768,0.69992,4825,,,,
K20304,-6.4716,0.69719,4825,,,,
K19292,-6.0398,0.69851,4825,,,1.7e-05,
K19902,-6.1918,0.69745,4825,,,,
K11519,-5.6639,0.70018,4825,,,,
K16531,-6.2231,0.69719,4825,,,3.6e-13,
K13686,-6.7519,0.6967,4825,198.73,3.237646802573208e-59,,
K13256,-4.8216,0.7058,4825,34.23,5.166588317149853e-09,,
K14153,-6.3644,0.69652,4825,405.83,9.927452219289896e-122,,
K21646,-6.5655,0.69571,4825,,,,
K16316,-7.0061,0.69538,4825,,,2.9,
K22222,-6.2245,0.69802,4825,177.17,1.2250258667199042e-52,2.6e-21,2.1224041635640635e+31
K18366,-5.3918,0.70117,4825,478.5,2.145571603966673e-144,,
K06822,-8.0351,0.69444,4825,,,0.0013,
K18147,-5.984,0.6984,4825,917.17,4.791690026617858e-277,1.6000000000000001e-38,3.3391141561995733e+238
K18102,-6.1776,0.69862,4825,,,4.1e-06,
K05475,-5.3856,0.7007,4825,,,,
K15074,-5.6571,0.6998,4825,,,,
K01497,-5.4634,0.69768,4825,,,4.9e-91,
K00288,-7.1394,0.69538,4825,,,3.5e-88,
K01270,-6.1393,0.69747,4825,167.6,1.1391541342316465e-49,5.4e-05,4.740359392754407e+44
K15342,-5.9863,0.69718,4825,82.03,1.0809271214141292e-23,,
K11707,-6.017,0.69944,4825,330.33,3.2639709605880788e-99,1.0999999999999999e-129,3.3701280228357477e-31
K02124,-4.8966,0.70802,4825,,,,
K12409,-6.6341,0.69642,4825,,,1.5e-32,
K12112,-5.6136,0.70193,4825,97.97,1.2782759674374948e-28,,
K26715,-7.9135,0.69416,4825,,,,
K16676,-5.1449,0.69829,4825,,,,
K05185,-6.1288,0.69752,4825,,,,
K06267,-6.5469,0.69574,4825,,,0.053,
K02110,-5.0192,0.70424,4825,,,4.4e-13,
K05128,-6.3807,0.6965,4825,,,,
K21951,-4.9669,0.69987,4825,,,,
K10287,-5.986,0.69839,4825,,,,
K16354,-6.6468,0.6965,4825,,,0.00091,
K17642,-6.2981,0.69683,4825,,,2.8e-67,
K26601,-4.9383,0.70887,4825,205.93,5.833574640822534e-62,4.3e-50,737112365017.0182
K16256,-5.8245,0.7009,4825,173.1,1.6573562403061853e-51,,
K06169,-5.3822,0.70247,4825,149.27,3.179675576156402e-44,6.2e-65,1.949884461953371e-21
K07151,-6.7162,0.69579,4825,225.13,4.2143684503076643e-67,,
K04666,-5.6054,0.699,4825,,,,
K26759,-4.987,0.70589,4825,,,,
K16614,-5.6305,0.70178,4825,,,,
